index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,title,song_ids,artist_name
410,0.86,0.556,1,-8.27,1,0.1939999999999999,0.0608,0.0,0.114,0.74,174.922,audio_features,35JQqvSK3D6jxXY9ICWyyf,spotify:track:35JQqvSK3D6jxXY9ICWyyf,https://api.spotify.com/v1/tracks/35JQqvSK3D6jxXY9ICWyyf,https://api.spotify.com/v1/audio-analysis/35JQqvSK3D6jxXY9ICWyyf,145371,4,Underground Rap,Mike Jackson,,35JQqvSK3D6jxXY9ICWyyf,Frank & Maury
411,0.799,0.843,8,-4.542,1,0.0937,0.0419,0.848,0.298,0.923,130.02,audio_features,3cZ4QbpnDmVwzGhVCKd3Ka,spotify:track:3cZ4QbpnDmVwzGhVCKd3Ka,https://api.spotify.com/v1/tracks/3cZ4QbpnDmVwzGhVCKd3Ka,https://api.spotify.com/v1/audio-analysis/3cZ4QbpnDmVwzGhVCKd3Ka,103732,4,Underground Rap,Catch Thirtythree,,3cZ4QbpnDmVwzGhVCKd3Ka,Freddie Dredd
412,0.8859999999999999,0.726,10,-5.776,1,0.1689999999999999,0.0562,1.94e-05,0.0951,0.514,155.97799999999998,audio_features,1YBo2pYIAlkfPLrIoucRLl,spotify:track:1YBo2pYIAlkfPLrIoucRLl,https://api.spotify.com/v1/tracks/1YBo2pYIAlkfPLrIoucRLl,https://api.spotify.com/v1/audio-analysis/1YBo2pYIAlkfPLrIoucRLl,184573,4,Underground Rap,Dre Grant,,1YBo2pYIAlkfPLrIoucRLl,Dame D.O.L.L.A
413,0.675,0.57,7,-6.24,1,0.0641,0.105,0.0,0.149,0.422,192.18400000000003,audio_features,6OAcL1KVJHPx03PEQquVg9,spotify:track:6OAcL1KVJHPx03PEQquVg9,https://api.spotify.com/v1/tracks/6OAcL1KVJHPx03PEQquVg9,https://api.spotify.com/v1/audio-analysis/6OAcL1KVJHPx03PEQquVg9,144484,4,Underground Rap,"Hands Own (feat. LilBeno, Drego & Nuk)",,6OAcL1KVJHPx03PEQquVg9,East Warren Buck
414,0.7959999999999999,0.48,5,-6.562,0,0.0533,0.0736,1.76e-05,0.105,0.3429999999999999,191.962,audio_features,2UAFvWQ5N0AS6EdLqKAs7F,spotify:track:2UAFvWQ5N0AS6EdLqKAs7F,https://api.spotify.com/v1/tracks/2UAFvWQ5N0AS6EdLqKAs7F,https://api.spotify.com/v1/audio-analysis/2UAFvWQ5N0AS6EdLqKAs7F,166092,4,Underground Rap,CLUB E11EVEN (feat. Guapdad 4000),,2UAFvWQ5N0AS6EdLqKAs7F,ALLBLACK
415,0.931,0.3,5,-12.413,0,0.377,0.0186,0.0,0.111,0.124,196.024,audio_features,2XRHjGUc8yo1ZWb0ZrUmrp,spotify:track:2XRHjGUc8yo1ZWb0ZrUmrp,https://api.spotify.com/v1/tracks/2XRHjGUc8yo1ZWb0ZrUmrp,https://api.spotify.com/v1/audio-analysis/2XRHjGUc8yo1ZWb0ZrUmrp,147461,4,Underground Rap,Speed Racin,,2XRHjGUc8yo1ZWb0ZrUmrp,Pimp Tobi
416,0.812,0.787,11,-6.691,1,0.0649,0.0252,0.367,0.31,0.298,169.0,audio_features,3TpOMOfFOzBGiTH4shINO6,spotify:track:3TpOMOfFOzBGiTH4shINO6,https://api.spotify.com/v1/tracks/3TpOMOfFOzBGiTH4shINO6,https://api.spotify.com/v1/audio-analysis/3TpOMOfFOzBGiTH4shINO6,116893,4,Underground Rap,Naga,,3TpOMOfFOzBGiTH4shINO6,HAARPER
417,0.7559999999999999,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.6659999999999999,129.983,audio_features,22WV03i2lBbwNVCE1g671p,spotify:track:22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/tracks/22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/audio-analysis/22WV03i2lBbwNVCE1g671p,156780,4,Underground Rap,151 Rum,,22WV03i2lBbwNVCE1g671p,JID
418,0.726,0.8240000000000001,7,-5.011,0,0.345,0.584,1.14e-06,0.113,0.382,130.118,audio_features,60Mq4EumvcSXznNugo9Op3,spotify:track:60Mq4EumvcSXznNugo9Op3,https://api.spotify.com/v1/tracks/60Mq4EumvcSXznNugo9Op3,https://api.spotify.com/v1/audio-analysis/60Mq4EumvcSXznNugo9Op3,289587,4,Underground Rap,Long Live A$AP,,60Mq4EumvcSXznNugo9Op3,A$AP Rocky
419,0.78,0.836,1,-6.145,1,0.317,0.0634,0.0,0.141,0.735,181.708,audio_features,1aum3ek9xIMItcgMyIDbzy,spotify:track:1aum3ek9xIMItcgMyIDbzy,https://api.spotify.com/v1/tracks/1aum3ek9xIMItcgMyIDbzy,https://api.spotify.com/v1/audio-analysis/1aum3ek9xIMItcgMyIDbzy,224860,4,Underground Rap,Lyrical Fluctuation,,1aum3ek9xIMItcgMyIDbzy,Jigmastas
420,0.738,0.648,5,-7.711,0,0.122,0.0993,0.096,0.0985,0.355,169.984,audio_features,7osj4dItKaM92c7RuFcd5D,spotify:track:7osj4dItKaM92c7RuFcd5D,https://api.spotify.com/v1/tracks/7osj4dItKaM92c7RuFcd5D,https://api.spotify.com/v1/audio-analysis/7osj4dItKaM92c7RuFcd5D,197647,4,Underground Rap,Lead Sled,,7osj4dItKaM92c7RuFcd5D,Ramirez
421,0.672,0.768,0,-6.683,1,0.0372,0.00151,0.0035,0.144,0.216,138.0,audio_features,5LW6zWlfiNZebRlg1pgZ5a,spotify:track:5LW6zWlfiNZebRlg1pgZ5a,https://api.spotify.com/v1/tracks/5LW6zWlfiNZebRlg1pgZ5a,https://api.spotify.com/v1/audio-analysis/5LW6zWlfiNZebRlg1pgZ5a,155576,4,Underground Rap,Individuality Was So Last Year ($UICIDEBOY$ X TRAVIS BARKER),,5LW6zWlfiNZebRlg1pgZ5a,$uicideboy$
422,0.785,0.479,3,-10.247,1,0.362,0.0417,3.5e-05,0.3339999999999999,0.727,175.382,audio_features,5RGXoZt1qxmAErdhbyKJKq,spotify:track:5RGXoZt1qxmAErdhbyKJKq,https://api.spotify.com/v1/tracks/5RGXoZt1qxmAErdhbyKJKq,https://api.spotify.com/v1/audio-analysis/5RGXoZt1qxmAErdhbyKJKq,339893,4,Underground Rap,Boyz-N-The-Hood,,5RGXoZt1qxmAErdhbyKJKq,Eazy-E
423,0.748,0.462,8,-11.503,1,0.365,0.0942,2.95e-06,0.145,0.491,159.049,audio_features,60sHu6CKksg8ua4jktvxw8,spotify:track:60sHu6CKksg8ua4jktvxw8,https://api.spotify.com/v1/tracks/60sHu6CKksg8ua4jktvxw8,https://api.spotify.com/v1/audio-analysis/60sHu6CKksg8ua4jktvxw8,211321,4,Underground Rap,Zoom,,60sHu6CKksg8ua4jktvxw8,Trilla Kid
424,0.795,0.6890000000000001,0,-5.447,1,0.244,0.0302,0.0,0.0823,0.5479999999999999,165.925,audio_features,3GlBSU6Xj3jzxFxQeAdCMh,spotify:track:3GlBSU6Xj3jzxFxQeAdCMh,https://api.spotify.com/v1/tracks/3GlBSU6Xj3jzxFxQeAdCMh,https://api.spotify.com/v1/audio-analysis/3GlBSU6Xj3jzxFxQeAdCMh,141039,4,Underground Rap,My People,,3GlBSU6Xj3jzxFxQeAdCMh,Starlito
425,0.6729999999999999,0.664,2,-4.947,1,0.115,0.547,0.00151,0.1,0.314,182.746,audio_features,2USqpxYb0duZgoRYLPp651,spotify:track:2USqpxYb0duZgoRYLPp651,https://api.spotify.com/v1/tracks/2USqpxYb0duZgoRYLPp651,https://api.spotify.com/v1/audio-analysis/2USqpxYb0duZgoRYLPp651,147749,4,Underground Rap,Her,,2USqpxYb0duZgoRYLPp651,WPN
426,0.851,0.461,8,-7.876,1,0.322,0.474,0.0,0.258,0.62,143.974,audio_features,3S5dLLX6GvTJa1bwAlN4wD,spotify:track:3S5dLLX6GvTJa1bwAlN4wD,https://api.spotify.com/v1/tracks/3S5dLLX6GvTJa1bwAlN4wD,https://api.spotify.com/v1/audio-analysis/3S5dLLX6GvTJa1bwAlN4wD,153561,4,Underground Rap,"No Suburban, Pt. 2",,3S5dLLX6GvTJa1bwAlN4wD,Sheff G
427,0.465,0.84,0,-4.35,1,0.0722,0.125,0.0,0.138,0.672,167.96200000000002,audio_features,6eiztdXRkooWsBt2xToMWI,spotify:track:6eiztdXRkooWsBt2xToMWI,https://api.spotify.com/v1/tracks/6eiztdXRkooWsBt2xToMWI,https://api.spotify.com/v1/audio-analysis/6eiztdXRkooWsBt2xToMWI,142026,4,Underground Rap,Make Believe,,6eiztdXRkooWsBt2xToMWI,Juice WRLD
428,0.752,0.7040000000000001,3,-6.684,1,0.0782,0.121,0.000135,0.1,0.487,172.081,audio_features,2uEWVG3n4JrpT6DCWW2uGY,spotify:track:2uEWVG3n4JrpT6DCWW2uGY,https://api.spotify.com/v1/tracks/2uEWVG3n4JrpT6DCWW2uGY,https://api.spotify.com/v1/audio-analysis/2uEWVG3n4JrpT6DCWW2uGY,239334,4,Underground Rap,Feel Again,,2uEWVG3n4JrpT6DCWW2uGY,Tistik
429,0.868,0.4429999999999999,8,-13.258,0,0.351,0.483,0.0,0.0607,0.73,190.038,audio_features,3jwhZi6tEW8X0T8iKpdBPl,spotify:track:3jwhZi6tEW8X0T8iKpdBPl,https://api.spotify.com/v1/tracks/3jwhZi6tEW8X0T8iKpdBPl,https://api.spotify.com/v1/audio-analysis/3jwhZi6tEW8X0T8iKpdBPl,210207,4,Underground Rap,Day Ones,,3jwhZi6tEW8X0T8iKpdBPl,BFC D-Boy
430,0.767,0.586,1,-8.246,1,0.077,0.0124,0.31,0.0927,0.0761,205.008,audio_features,09RcOcXrDMu06bMGqBcQVY,spotify:track:09RcOcXrDMu06bMGqBcQVY,https://api.spotify.com/v1/tracks/09RcOcXrDMu06bMGqBcQVY,https://api.spotify.com/v1/audio-analysis/09RcOcXrDMu06bMGqBcQVY,138789,4,Underground Rap,The Whole Where My Head Once Lived,,09RcOcXrDMu06bMGqBcQVY,Ghostemane
