danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.787,0.686,6.0,-4.37,0.0,0.0339,0.0893,0.0,0.0927,0.836,123.51,185553.0,4.0
0.731,0.667,7.0,-7.928,0.0,0.0815,0.134,0.0,0.114,0.485,123.042,144390.0,4.0
0.842,0.756,7.0,-7.409,0.0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,172798.0,4.0
0.529,0.866,3.0,-5.816,0.0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,163600.0,4.0
0.583,0.351,0.0,-5.836,1.0,0.0306,0.494,0.0,0.368,0.462,79.014,227467.0,4.0
0.747,0.391,0.0,-13.767,1.0,0.052,0.529,0.003,0.111,0.195,102.984,277832.0,4.0
0.576,0.815,10.0,-3.999,0.0,0.0267,0.142,0.0,0.267,0.56,130.032,177920.0,4.0
0.521,0.366,11.0,-7.698,0.0,0.034,0.838,4.11e-06,0.12,0.225,141.965,205484.0,4.0
0.457,0.725,1.0,-5.979,1.0,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,174992.0,4.0
0.909,0.762,9.0,-3.974,1.0,0.0643,0.434,0.0,0.0856,0.843,101.987,142335.0,3.0
0.498,0.764,4.0,-5.006,1.0,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231.0,4.0
0.616,0.834,9.0,-3.069,1.0,0.0664,0.06,0.0,0.338,0.746,151.701,165848.0,4.0
0.836,0.409,9.0,-14.189,1.0,0.188,0.258,4.92e-06,0.242,0.233,101.931,122321.0,4.0
0.522,0.641,8.0,-6.287,1.0,0.0318,0.0545,0.0,0.162,0.202,87.51,244685.0,4.0
0.711,0.809,2.0,-4.389,0.0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020.0,4.0
0.626,0.583,0.0,-7.346,0.0,0.0318,0.276,0.0,0.141,0.428,87.977,228145.0,4.0
0.911,0.778,5.0,-2.248,1.0,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768.0,4.0
0.619,0.564,4.0,-6.517,1.0,0.0302,0.673,0.0,0.184,0.419,129.944,220146.0,4.0
0.808,0.944,10.0,-4.863,0.0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,191467.0,3.0
0.544,0.573,8.0,-5.694,1.0,0.0356,0.0958,0.0,0.104,0.233,122.977,211739.0,4.0
0.524,0.209,4.0,-12.437,1.0,0.0405,0.85,0.0,0.173,0.347,148.59,232918.0,3.0
0.93,0.682,9.0,-8.799,1.0,0.331,0.028,0.0,0.129,0.962,126.003,119016.0,4.0
0.67,0.555,1.0,-9.12,0.0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,146808.0,4.0
0.569,0.882,3.0,-2.777,0.0,0.06,0.0316,0.0,0.142,0.201,148.038,191701.0,4.0
0.627,0.879,9.0,-3.446,1.0,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,184784.0,4.0
0.757,0.642,2.0,-7.966,0.0,0.0369,0.607,0.0355,0.169,0.759,130.098,165635.0,3.0
0.663,0.502,5.0,-7.07,1.0,0.0285,0.791,0.0,0.105,0.371,143.969,183087.0,4.0
0.807,0.593,7.0,-7.304,1.0,0.104,0.316,0.00083,0.137,0.323,110.001,235689.0,4.0
0.402,0.514,1.0,-7.322,0.0,0.0471,0.106,0.0,0.181,0.2,120.009,251095.0,4.0
0.678,0.264,10.0,-12.384,1.0,0.0622,0.753,0.0,0.302,0.528,121.722,187244.0,4.0
0.486,0.64,3.0,-8.027,1.0,0.0551,0.136,7.58e-05,0.105,0.289,122.017,267256.0,4.0
0.793,0.512,0.0,-9.319,1.0,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,146437.0,4.0
0.773,0.597,2.0,-7.138,1.0,0.309,0.194,0.0,0.22,0.305,160.101,217527.0,4.0
0.634,0.725,5.0,-4.945,0.0,0.0587,0.0776,0.0,0.211,0.795,159.845,154375.0,4.0
0.544,0.831,8.0,-3.578,1.0,0.0941,0.543,0.0,0.118,0.233,130.005,143940.0,4.0
0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,310491.0,3.0
0.456,0.459,4.0,-8.16,0.0,0.0811,0.475,0.0,0.0861,0.211,116.049,116293.0,4.0
0.508,0.296,3.0,-10.513,1.0,0.0755,0.897,5e-05,0.11,0.134,82.532,268856.0,4.0
0.455,0.621,0.0,-7.694,0.0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,251250.0,4.0
0.544,0.496,0.0,-12.032,1.0,0.21,0.13,0.0,0.166,0.314,103.148,203442.0,5.0
0.593,0.397,6.0,-8.309,1.0,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,189053.0,4.0
0.728,0.589,7.0,-7.115,1.0,0.0376,0.424,7.78e-06,0.166,0.767,77.475,179013.0,4.0
0.73,0.849,1.0,-5.281,0.0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,230013.0,4.0
0.92,0.696,6.0,-3.356,0.0,0.0742,0.183,0.0,0.149,0.545,106.966,170480.0,4.0
0.442,0.644,10.0,-5.787,0.0,0.0378,0.347,1.73e-06,0.128,0.34,117.379,216573.0,4.0
0.7490000000000001,0.802,10.0,-5.78,0.0,0.2019999999999999,0.105,0.0,0.296,0.47,203.93400000000003,174357.0,4.0
0.4639999999999999,0.602,7.0,-8.185,1.0,0.125,0.86,0.0,0.162,0.664,166.748,162373.0,4.0
0.5770000000000001,0.6920000000000001,11.0,-5.96,1.0,0.64,0.372,0.0596,0.0989,0.0658,144.702,122483.0,4.0
0.642,0.6940000000000001,11.0,-6.104,1.0,0.364,0.000335,0.0,0.312,0.568,106.41,143331.0,4.0
0.789,0.488,4.0,-9.093,0.0,0.2269999999999999,0.179,7.94e-06,0.104,0.0644,133.114,209453.0,4.0
0.736,0.903,9.0,-7.249,0.0,0.225,0.0204,0.0,0.38,0.852,146.035,102000.0,4.0
0.574,0.7040000000000001,8.0,-6.291,1.0,0.908,0.00525,0.0,0.0976,0.0975,205.758,106083.0,4.0
0.3939999999999999,0.6609999999999999,4.0,-8.684,1.0,0.192,0.00996,0.0,0.3429999999999999,0.335,149.81799999999998,260987.0,4.0
0.601,0.7120000000000001,1.0,-9.433,1.0,0.0431,0.0848,0.0,0.479,0.386,114.998,154000.0,4.0
0.636,0.8,11.0,-4.265,0.0,0.347,0.337,0.0,0.39,0.7040000000000001,177.31400000000002,238453.0,4.0
0.8029999999999999,0.534,11.0,-7.582000000000001,0.0,0.186,0.0467,0.0,0.134,0.331,117.93,130247.0,4.0
0.7709999999999999,0.629,1.0,-3.574,0.0,0.145,0.0381,0.00555,0.175,0.136,155.067,113048.0,4.0
0.8759999999999999,0.519,11.0,-6.531000000000001,1.0,0.143,0.2019999999999999,0.0,0.108,0.158,189.962,175230.0,4.0
0.902,0.73,7.0,-3.077,1.0,0.13,0.0153,0.0,0.0933,0.4,200.094,186890.0,4.0
0.78,0.7440000000000001,1.0,-12.055,1.0,0.627,0.231,1.65e-06,0.257,0.79,120.13,130000.0,4.0
0.667,0.6729999999999999,0.0,-7.574,1.0,0.3229999999999999,0.0641,4e-06,0.0975,0.669,144.256,201964.0,4.0
0.7559999999999999,0.903,7.0,-4.656000000000001,1.0,0.14,0.0298,0.385,0.29,0.7829999999999999,193.468,232600.0,4.0
0.809,0.622,5.0,-7.338999999999999,0.0,0.0533,0.427,0.0226,0.0954,0.503,117.97,175961.0,4.0
0.8859999999999999,0.479,4.0,-8.054,0.0,0.3339999999999999,0.077,0.0,0.135,0.408,130.029,158692.0,4.0
0.852,0.5529999999999999,1.0,-7.286,1.0,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,205879.0,4.0
0.7609999999999999,0.687,11.0,-7.436,0.0,0.0407,0.0409999999999999,6.7e-06,0.0762,0.295,120.012,192052.0,4.0
0.76,0.588,8.0,-6.305,0.0,0.3879999999999999,0.102,0.0,0.0796,0.6759999999999999,140.053,179644.0,4.0
0.861,0.56,1.0,-9.974,1.0,0.299,0.148,2.7e-05,0.439,0.634,176.59799999999998,260200.0,4.0
0.8290000000000001,0.59,9.0,-7.818,0.0,0.263,0.0391,0.0107,0.114,0.332,112.97,127128.0,4.0
0.769,0.541,7.0,-6.065,1.0,0.0413,0.423,0.00064,0.1009999999999999,0.439,160.055,169424.0,4.0
0.95,0.407,0.0,-6.1770000000000005,1.0,0.0984,0.0236,2.37e-06,0.0906,0.499,200.042,137215.0,4.0
0.598,0.6829999999999999,4.0,-6.587999999999999,0.0,0.054,0.0152,0.0,0.319,0.122,135.982,177160.0,5.0
0.7709999999999999,0.547,11.0,-8.884,1.0,0.191,0.201,0.0002279999999999,0.0769,0.573,150.115,254514.0,4.0
0.7509999999999999,0.7659999999999999,9.0,-8.118,1.0,0.2769999999999999,0.00727,0.0,0.216,0.595,193.408,225200.0,4.0
0.897,0.4479999999999999,1.0,-8.874,1.0,0.0766,0.000725,1.17e-05,0.365,0.316,145.971,204787.0,4.0
0.88,0.728,10.0,-6.939,0.0,0.205,0.136,5.42e-05,0.3379999999999999,0.715,160.976,200235.0,4.0
0.928,0.696,4.0,-4.972,0.0,0.0866,0.331,0.0001189999999999,0.121,0.396,189.988,165938.0,4.0
0.5379999999999999,0.7609999999999999,8.0,-6.954,0.0,0.1939999999999999,0.0821,0.0,0.102,0.753,169.922,193941.0,4.0
0.54,0.77,1.0,-3.981,1.0,0.389,0.1939999999999999,2.7399999999999995e-05,0.372,0.565,159.494,204000.0,4.0
0.872,0.679,7.0,-8.334,1.0,0.2769999999999999,0.188,0.0,0.0996,0.588,199.938,211200.0,4.0
0.888,0.906,1.0,-4.0280000000000005,1.0,0.365,0.221,0.000474,0.266,0.477,125.033,137822.0,4.0
0.544,0.498,11.0,-7.621,0.0,0.0322,0.0458,2.97e-06,0.135,0.173,110.0,226000.0,4.0
0.81,0.401,1.0,-6.916,1.0,0.5429999999999999,0.0134,0.0,0.113,0.181,157.99,109427.0,4.0
0.5589999999999999,0.5429999999999999,1.0,-5.428999999999999,1.0,0.302,0.00133,2e-05,0.0577,0.337,151.916,193000.0,4.0
0.868,0.365,7.0,-9.51,1.0,0.0383,0.433,0.0,0.207,0.471,114.979,197217.0,4.0
0.909,0.573,5.0,-6.856,1.0,0.181,0.0332,0.0163,0.657,0.392,144.946,134271.0,4.0
0.72,0.934,10.0,-2.819,0.0,0.0712,0.0433,0.0,0.115,0.628,168.00799999999998,91429.0,4.0
0.782,0.713,0.0,-6.5760000000000005,0.0,0.0899,0.0619,0.00125,0.108,0.68,159.839,218947.0,4.0
0.765,0.574,5.0,-8.456,1.0,0.31,0.0585,0.0,0.22,0.606,140.017,147413.0,4.0
0.754,0.7120000000000001,6.0,-6.61,0.0,0.214,0.243,0.0,0.366,0.573,135.153,188500.0,4.0
0.516,0.69,5.0,-5.546,0.0,0.4629999999999999,0.521,0.0,0.113,0.597,175.75599999999997,120000.0,5.0
0.88,0.728,8.0,-7.093,1.0,0.353,0.0343,0.0,0.0826,0.939,160.032,146879.0,4.0
0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0,4.0
0.5920000000000001,0.457,9.0,-6.081,0.0,0.0603,0.6609999999999999,0.000331,0.146,0.225,146.04,110886.0,4.0
0.79,0.47,1.0,-8.594,1.0,0.223,0.49,0.0,0.0884,0.53,126.992,146467.0,4.0
0.919,0.639,11.0,-12.179,1.0,0.0812,0.0344,0.7959999999999999,0.12,0.7609999999999999,130.028,253548.0,4.0
0.77,0.629,5.0,-8.491,1.0,0.355,0.18,0.0,0.0906,0.44,173.892,149000.0,4.0
0.54,0.695,1.0,-8.131,1.0,0.34,0.0155,0.313,0.135,0.369,178.18099999999998,256227.0,4.0
0.7240000000000001,0.722,10.0,-7.153,0.0,0.326,0.0339,0.0,0.132,0.246,145.7,184664.0,4.0
0.8059999999999999,0.7490000000000001,6.0,-7.064,0.0,0.392,0.784,0.0,0.546,0.8540000000000001,126.091,326496.0,4.0
0.5760000000000001,0.476,1.0,-8.902999999999999,1.0,0.222,0.0233,0.000105,0.18,0.214,107.889,118399.0,3.0
0.757,0.946,5.0,-4.171,1.0,0.0447,0.151,0.0,0.295,0.351,140.056,111490.0,4.0
0.8540000000000001,0.416,0.0,-10.474,1.0,0.105,0.121,0.213,0.106,0.38,130.002,225358.0,4.0
0.7809999999999999,0.387,10.0,-12.812,0.0,0.0595,0.0528,0.00161,0.172,0.114,114.985,165833.0,4.0
0.764,0.492,0.0,-9.892,0.0,0.25,0.0591,0.0,0.15,0.174,163.622,155559.0,4.0
0.5670000000000001,0.297,5.0,-17.703,0.0,0.042,0.544,0.805,0.111,0.0684,168.61,241737.0,4.0
0.7559999999999999,0.648,0.0,-5.287000000000001,1.0,0.0731,0.118,0.0,0.515,0.657,161.958,166146.0,4.0
0.622,0.347,8.0,-13.292,1.0,0.0649,0.507,0.00421,0.0841,0.0757,151.024,217000.0,4.0
0.5770000000000001,0.608,7.0,-9.836,0.0,0.0586,0.00502,0.253,0.104,0.0579,202.027,218702.0,4.0
0.705,0.643,10.0,-7.894,0.0,0.0732,0.316,0.0,0.21,0.303,207.134,194783.0,4.0
0.644,0.5379999999999999,0.0,-8.2,0.0,0.4579999999999999,0.314,0.0,0.245,0.476,124.818,184426.0,4.0
0.741,0.428,11.0,-9.253,1.0,0.0496,0.246,1.24e-05,0.13,0.0464,130.04399999999998,140064.0,4.0
0.856,0.469,2.0,-15.032,1.0,0.259,0.0629,2.27e-06,0.184,0.168,133.003,147120.0,4.0
0.8390000000000001,0.807,1.0,-6.132000000000001,0.0,0.3229999999999999,0.0495,0.0,0.0873,0.733,131.95600000000002,220909.0,4.0
0.6659999999999999,0.507,1.0,-7.104,1.0,0.248,0.256,1.46e-05,0.1669999999999999,0.0949,181.983,158302.0,4.0
0.367,0.782,2.0,-9.674,1.0,0.0366,0.0069,0.501,0.0969,0.201,149.891,216846.0,4.0
0.669,0.74,10.0,-7.548999999999999,0.0,0.0354,0.0703,0.0,0.152,0.573,195.98,203507.0,4.0
0.7959999999999999,0.426,1.0,-13.207,1.0,0.285,0.356,2.7300000000000003e-05,0.0941,0.649,150.043,128014.0,4.0
0.8079999999999999,0.757,4.0,-3.615,0.0,0.0969999999999999,0.385,0.0,0.361,0.385,104.967,156217.0,4.0
0.889,0.816,9.0,-4.67,1.0,0.247,0.472,0.0,0.204,0.777,192.112,302693.0,4.0
0.7509999999999999,0.679,0.0,-7.917000000000001,1.0,0.222,0.294,0.0,0.315,0.617,196.028,195912.0,4.0
0.617,0.588,1.0,-6.3020000000000005,1.0,0.4639999999999999,0.0369,0.0,0.514,0.878,132.164,223173.0,4.0
0.774,0.613,8.0,-6.908,0.0,0.0905,0.0891,0.0125,0.141,0.233,207.796,132280.0,4.0
0.773,0.873,1.0,-6.35,1.0,0.256,0.431,0.0,0.0575,0.664,190.156,234133.0,4.0
0.733,0.6779999999999999,6.0,-7.771,1.0,0.4379999999999999,0.121,0.0,0.344,0.841,175.985,142000.0,4.0
